Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,Class
0.98,514.5,294,110.25,7,4,0,0,15.55,21.33,B
0.98,514.5,294,110.25,7,5,0,0,15.55,21.33,B
0.9,563.5,318.5,122.5,7,3,0,0,21.46,25.38,C
0.82,612.5,318.5,147,7,3,0,0,17.41,21.46,B
0.82,612.5,318.5,147,7,4,0,0,16.95,21.16,B
0.9,563.5,318.5,122.5,7,2,0.1,1,29.03,32.92,C
0.9,563.5,318.5,122.5,7,5,0.1,1,28.09,34.33,C
0.86,588,294,147,7,3,0.1,1,26.91,25.6,C
0.79,637,343,147,7,3,0.1,1,37.12,35.28,D
0.79,637,343,147,7,5,0.1,1,35.94,43.33,D
0.76,661.5,416.5,122.5,7,2,0.1,1,32.96,33.87,D
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7,13.87,B
0.69,735,294,220.5,3.5,3,0.1,1,11.13,14.61,B
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96,14.34,B
0.98,514.5,294,110.25,7,2,0.1,2,24.29,25.95,C
0.9,563.5,318.5,122.5,7,3,0.1,2,29.68,29.44,C
0.9,563.5,318.5,122.5,7,5,0.1,2,27.9,34.2,C
0.86,588,294,147,7,3,0.1,2,27.02,25.63,C
0.86,588,294,147,7,4,0.1,2,26.33,27.36,C
0.86,588,294,147,7,5,0.1,2,25.36,31.9,C
0.82,612.5,318.5,147,7,5,0.1,2,22.79,28.79,C
0.79,637,343,147,7,2,0.1,2,35.65,41.07,D
0.76,661.5,416.5,122.5,7,3,0.1,2,32.4,34.07,D
0.69,735,294,220.5,3.5,5,0.1,2,11.49,13.51,B
0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97,14.27,B
0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04,14.24,B
0.98,514.5,294,110.25,7,3,0.1,3,24.4,26.02,C
0.9,563.5,318.5,122.5,7,3,0.1,3,29.01,32.85,C
0.86,588,294,147,7,3,0.1,3,26.47,31.01,C
0.86,588,294,147,7,5,0.1,3,26.46,27.4,C
0.82,612.5,318.5,147,7,2,0.1,3,22.93,28.68,C
0.79,637,343,147,7,3,0.1,3,35.48,41.22,D
0.76,661.5,416.5,122.5,7,2,0.1,3,32.52,33.85,D
0.69,735,294,220.5,3.5,2,0.1,3,11.22,14.44,B
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59,13.46,B
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61,13.83,B
0.64,784,343,220.5,3.5,4,0.1,3,15.12,19.37,B
0.98,514.5,294,110.25,7,5,0.1,4,24.32,25.87,C
0.86,588,294,147,7,2,0.1,4,26.44,27.17,C
0.86,588,294,147,7,4,0.1,4,26.33,31.06,C
0.76,661.5,416.5,122.5,7,2,0.1,4,33.08,34.11,D
0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42,14.67,B
0.64,784,343,220.5,3.5,3,0.1,4,15.19,19.25,B
0.62,808.5,367.5,220.5,3.5,4,0.1,4,13,14.28,B
0.9,563.5,318.5,122.5,7,4,0.1,5,28.03,34.45,C
0.82,612.5,318.5,147,7,2,0.1,5,24.37,25.11,C
0.79,637,343,147,7,3,0.1,5,36.71,34.18,D
0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.67,14.26,B
0.69,735,294,220.5,3.5,4,0.1,5,11.11,14.46,B
0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.38,14.54,B
0.64,784,343,220.5,3.5,2,0.1,5,15.16,19.24,B
0.86,588,294,147,7,3,0.25,1,30.05,28.61,C
0.86,588,294,147,7,4,0.25,1,29.6,30.12,C
0.79,637,343,147,7,2,0.25,1,38.67,43.8,D
0.76,661.5,416.5,122.5,7,4,0.25,1,36.91,37.45,D
0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.18,16.27,B
0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12,15.95,B
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08,15.77,B
0.86,588,294,147,7,2,0.25,2,29.34,33.37,C
0.82,612.5,318.5,147,7,5,0.25,2,24.94,29.88,C
0.79,637,343,147,7,5,0.25,2,38.98,45.97,D
0.76,661.5,416.5,122.5,7,2,0.25,2,36.95,36.87,D
0.74,686,245,220.5,3.5,5,0.25,2,12.3,15.44,B
0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2,14.94,B
0.64,784,343,220.5,3.5,4,0.25,2,17.02,20.48,B
0.98,514.5,294,110.25,7,3,0.25,3,28.56,29.78,C
0.98,514.5,294,110.25,7,4,0.25,3,28.17,30.1,C
0.9,563.5,318.5,122.5,7,3,0.25,3,32.4,35.1,D
0.9,563.5,318.5,122.5,7,5,0.25,3,32.29,32.46,D
0.82,612.5,318.5,147,7,4,0.25,3,25.37,26.95,C
0.79,637,343,147,7,2,0.25,3,39.04,45.13,D
0.79,637,343,147,7,4,0.25,3,39.81,37.76,D
0.74,686,245,220.5,3.5,3,0.25,3,12.03,13.79,B
0.74,686,245,220.5,3.5,5,0.25,3,11.69,14.76,B
0.71,710.5,269.5,220.5,3.5,3,0.25,3,12.28,14.74,B
0.62,808.5,367.5,220.5,3.5,4,0.25,3,13.95,14.89,B
0.62,808.5,367.5,220.5,3.5,5,0.25,3,13.99,14.35,B
0.98,514.5,294,110.25,7,4,0.25,4,28.15,30.19,C
0.98,514.5,294,110.25,7,5,0.25,4,28.62,30.12,C
0.9,563.5,318.5,122.5,7,2,0.25,4,32.67,32.12,D
0.86,588,294,147,7,3,0.25,4,28.42,34.19,C
0.82,612.5,318.5,147,7,3,0.25,4,24.96,29.43,C
0.71,710.5,269.5,220.5,3.5,2,0.25,4,12.36,14.67,B
0.71,710.5,269.5,220.5,3.5,3,0.25,4,12.49,15.09,B
0.69,735,294,220.5,3.5,5,0.25,4,12.86,16.13,B
0.64,784,343,220.5,3.5,3,0.25,4,16.69,19.76,B
0.98,514.5,294,110.25,7,5,0.25,5,28.61,30.2,C
0.9,563.5,318.5,122.5,7,2,0.25,5,33.13,32.25,D
0.82,612.5,318.5,147,7,2,0.25,5,25.7,26.53,C
0.76,661.5,416.5,122.5,7,2,0.25,5,35.69,36.93,D
0.76,661.5,416.5,122.5,7,4,0.25,5,36.06,35.73,D
0.74,686,245,220.5,3.5,4,0.25,5,11.64,14.81,B
0.69,735,294,220.5,3.5,2,0.25,5,12.47,15.14,B
0.62,808.5,367.5,220.5,3.5,2,0.25,5,13.68,15.19,B
0.62,808.5,367.5,220.5,3.5,3,0.25,5,13.99,14.61,B
0.9,563.5,318.5,122.5,7,3,0.4,1,37.24,36.38,D
0.9,563.5,318.5,122.5,7,4,0.4,1,36.66,35.92,D
0.86,588,294,147,7,3,0.4,1,32.39,30.66,D
0.86,588,294,147,7,5,0.4,1,31.29,36.73,D
0.74,686,245,220.5,3.5,2,0.4,1,14.52,16.94,B
0.74,686,245,220.5,3.5,4,0.4,1,14.5,17.03,B
0.71,710.5,269.5,220.5,3.5,3,0.4,1,14.6,17.51,B
0.69,735,294,220.5,3.5,5,0.4,1,14.42,17.2,B
0.66,759.5,318.5,220.5,3.5,2,0.4,1,15.23,18.14,B
0.66,759.5,318.5,220.5,3.5,5,0.4,1,15.23,17.95,B
0.62,808.5,367.5,220.5,3.5,2,0.4,1,15.09,17.2,B
0.9,563.5,318.5,122.5,7,2,0.4,2,35.84,38.35,D
0.9,563.5,318.5,122.5,7,3,0.4,2,36.57,35.39,D
0.9,563.5,318.5,122.5,7,5,0.4,2,35.69,40.66,D
0.86,588,294,147,7,4,0.4,2,32.13,32.28,D
0.82,612.5,318.5,147,7,5,0.4,2,28.01,32.92,C
0.76,661.5,416.5,122.5,7,3,0.4,2,40.15,40.4,D
0.71,710.5,269.5,220.5,3.5,2,0.4,2,14.7,16.77,B
0.71,710.5,269.5,220.5,3.5,4,0.4,2,14.4,17.27,B
